driver_id,first_name,last_name,hire_date,termination_date,license_number,license_state,date_of_birth,home_terminal,employment_status,cdl_class,years_experience,tenure_years
DRV00069,Patricia,Taylor,2012-09-13,,DL979717936,PA,1975-10-13,Minneapolis,Active,A,15,12.3
DRV00070,Sarah,Anderson,2014-12-15,,DL275842194,PA,1974-07-02,Indianapolis,Active,A,16,10.05
DRV00071,Jessica,Johnson,2015-01-25,,DL433975497,OK,1980-12-16,Houston,Active,A,12,9.93
DRV00072,William,Moore,2012-01-28,2014-05-03,DL216070149,NC,1984-07-22,Kansas City,Terminated,A,7,2.26
DRV00073,Linda,Davis,2012-05-04,2013-01-08,DL721358005,FL,1969-08-02,Chicago,Terminated,A,13,0.68
DRV00074,William,Brown,2017-12-12,,DL127571992,OK,1968-09-19,Oklahoma City,Active,A,11,7.05
DRV00075,John,Anderson,2015-07-13,,DL434961542,TN,1981-02-28,Nashville,Active,A,25,9.47
DRV00076,Charles,Jones,2019-11-06,2021-01-02,DL718257024,NE,1988-02-17,Indianapolis,Terminated,A,12,1.16
DRV00077,Patricia,Anderson,2014-02-07,,DL827296111,IN,1989-01-24,Detroit,Active,A,20,10.9
DRV00078,John,Taylor,2021-03-23,,DL502982778,MO,1969-07-28,Minneapolis,Active,A,21,3.78
DRV00079,Patricia,Moore,2021-06-28,,DL525904456,MI,1969-02-16,Salt Lake City,Active,A,4,3.51
DRV00080,Richard,Martin,2014-08-03,,DL867741192,CA,1976-06-20,Atlanta,Active,A,3,10.41
DRV00081,Joseph,Hernandez,2019-06-13,,DL312954978,PA,1985-11-03,Chicago,Active,A,6,5.55
DRV00082,Michael,Anderson,2013-05-02,,DL181600593,MI,1981-11-28,Charlotte,Active,A,7,11.67
DRV00083,Patricia,Martin,2018-10-04,,DL735760237,TX,1994-07-11,Portland,Active,A,21,6.24
DRV00084,Jessica,Taylor,2021-02-09,,DL841541582,CO,1991-09-02,Las Vegas,Active,A,3,3.89
DRV00085,Linda,Wilson,2012-05-30,,DL991819497,AZ,1964-04-21,Nashville,Active,A,23,12.59
DRV00086,Karen,Moore,2019-05-24,2021-09-24,DL773496394,MI,1978-04-24,Los Angeles,Terminated,A,4,2.34
DRV00087,William,Anderson,2012-04-14,,DL360757540,GA,1965-07-04,Charlotte,Active,A,10,12.71
DRV00088,Joseph,Garcia,2020-11-14,,DL209415691,WI,1966-08-06,Milwaukee,Active,A,16,4.13
DRV00089,David,Thomas,2017-09-28,,DL848605284,OH,1979-01-02,Minneapolis,Active,A,23,7.26
DRV00090,David,Anderson,2018-11-20,,DL929445037,NY,1980-01-10,Dallas,Active,A,15,6.11
DRV00091,Linda,Rodriguez,2016-12-01,,DL423821937,FL,1982-06-14,Dallas,Active,A,17,8.08
DRV00092,James,Davis,2014-11-16,,DL834717549,IL,1969-04-17,Seattle,Active,A,21,10.12
DRV00093,David,Rodriguez,2012-08-25,2014-04-09,DL744687060,IL,1986-10-22,Kansas City,Terminated,A,16,1.62
DRV00094,Mary,Taylor,2017-11-29,,DL964929067,OH,1971-03-06,New York,Active,A,15,7.09
DRV00095,Linda,Thomas,2020-03-06,,DL229981882,MI,1965-10-28,Dallas,Active,A,10,4.82
DRV00096,Joseph,Davis,2017-11-07,2018-11-18,DL954942461,WI,1984-10-22,New York,Terminated,A,8,1.03
DRV00097,Thomas,Rodriguez,2018-01-07,,DL707665448,NY,1975-08-19,Miami,Active,A,18,6.98
DRV00098,David,Anderson,2019-08-27,,DL940348305,UT,1969-04-15,Kansas City,Active,A,5,5.35
DRV00099,Michael,Williams,2014-06-27,,DL144097647,NE,1976-08-09,Salt Lake City,Active,A,13,10.51
DRV00100,Jennifer,Martinez,2019-01-04,,DL472807202,NC,1960-08-10,Memphis,Active,A,15,5.99
DRV00101,John,Davis,2014-02-18,,DL672030854,CA,1994-03-03,Columbus,Active,A,5,10.87
DRV00102,Elizabeth,Rodriguez,2014-05-04,,DL559967386,GA,1988-06-19,Milwaukee,Active,A,11,10.66
DRV00103,Joseph,Hernandez,2014-09-26,,DL810303128,TN,1979-11-14,Seattle,Active,A,23,10.26
DRV00104,Richard,Hernandez,2021-03-15,,DL497897455,MI,1976-08-28,Portland,Active,A,23,3.8
DRV00105,Barbara,Moore,2015-03-04,,DL174041730,NC,1979-04-13,Kansas City,Active,A,20,9.83
DRV00106,Patricia,Williams,2014-11-19,2016-11-21,DL643271261,NC,1990-02-08,Indianapolis,Terminated,A,17,2.01
DRV00107,Charles,Jones,2020-02-01,,DL795294275,MN,1984-10-12,Detroit,Active,A,18,4.91
DRV00108,Joseph,Jones,2016-01-06,,DL466394187,WA,1978-12-10,Minneapolis,Active,A,23,8.99
DRV00109,Joseph,Davis,2013-10-29,,DL113585139,AZ,1961-11-13,Indianapolis,Active,A,11,11.17
DRV00110,James,Gonzalez,2019-04-05,,DL551034639,IL,1977-01-19,Kansas City,Active,A,3,5.74
DRV00111,Richard,Jones,2020-03-03,,DL982971099,FL,1963-10-24,Las Vegas,Active,A,9,4.83
DRV00112,Jennifer,Miller,2016-10-26,,DL626350075,NC,1991-05-25,Los Angeles,Active,A,14,8.18
DRV00113,Mary,Williams,2017-09-30,,DL213321496,CA,1974-10-26,Milwaukee,Active,A,21,7.25
DRV00114,Thomas,Wilson,2018-12-23,,DL565492204,TX,1982-04-21,Los Angeles,Active,A,3,6.02
DRV00115,Robert,Wilson,2014-10-29,2016-05-19,DL488896443,OR,1972-10-09,Salt Lake City,Terminated,A,2,1.56
DRV00116,Thomas,Hernandez,2014-04-15,2015-11-15,DL782454310,NC,1968-11-04,Salt Lake City,Terminated,A,8,1.59
DRV00117,Patricia,Moore,2015-10-04,,DL989817696,TX,1962-05-26,Omaha,Active,A,11,9.24
DRV00118,Susan,Anderson,2019-07-17,,DL593641365,TN,1988-01-19,Columbus,Active,A,8,5.46
DRV00119,Jennifer,Wilson,2014-04-29,,DL859466878,UT,1983-12-05,Oklahoma City,Active,A,6,10.67
DRV00120,Jessica,Johnson,2018-05-14,,DL264272995,TN,1965-05-11,Philadelphia,Active,A,10,6.63
DRV00121,Mary,Miller,2012-07-20,,DL567600762,IL,1986-03-07,Las Vegas,Active,A,11,12.45
DRV00122,James,Wilson,2013-05-21,,DL289125618,NY,1968-09-12,Minneapolis,Active,A,12,11.61
DRV00123,Michael,Gonzalez,2013-04-20,,DL887906704,NY,1993-09-09,Houston,Active,A,5,11.7
DRV00124,Thomas,Jackson,2021-05-17,,DL660221300,TN,1970-05-27,Las Vegas,Active,A,2,3.62
DRV00125,David,Smith,2019-06-08,,DL798423334,MI,1990-05-24,Seattle,Active,A,17,5.57
DRV00126,Sarah,Jackson,2012-10-14,,DL389998761,TX,1981-02-15,Minneapolis,Active,A,25,12.21
DRV00127,Thomas,Gonzalez,2021-08-23,,DL761330848,TX,1964-03-25,Portland,Active,A,15,3.36
DRV00128,John,Thomas,2012-12-22,,DL967797300,CA,1974-11-24,Las Vegas,Active,A,7,12.02
DRV00129,Michael,Smith,2018-06-19,,DL677858758,OH,1985-09-12,Oklahoma City,Active,A,6,6.54
DRV00130,Karen,Lopez,2017-07-03,,DL931764920,NE,1965-07-01,Los Angeles,Active,A,14,7.5
DRV00131,Linda,Martinez,2019-01-01,2021-02-17,DL619151495,NV,1976-09-04,Seattle,Terminated,A,19,2.13
DRV00132,Patricia,Gonzalez,2021-04-05,,DL599154414,MO,1989-06-22,Las Vegas,Active,A,24,3.74
DRV00133,Mary,Wilson,2019-08-21,,DL567694547,MO,1976-10-13,Seattle,Active,A,9,5.36
DRV00134,Linda,Moore,2015-08-23,,DL986625773,MO,1983-02-22,Nashville,Active,A,18,9.36
DRV00135,Karen,Moore,2012-03-05,2014-02-03,DL884933416,TX,1974-08-01,Miami,Terminated,A,19,1.92
DRV00136,Susan,Martin,2013-12-14,2014-12-19,DL736164778,NE,1995-06-20,Denver,Terminated,A,23,1.01
DRV00137,Michael,Davis,2018-06-23,2019-02-27,DL388187517,IN,1974-11-03,New York,Terminated,A,13,0.68
DRV00138,Jennifer,Thomas,2019-08-15,,DL446071904,OR,1989-12-10,Nashville,Active,A,4,5.38
DRV00139,Sarah,Davis,2014-08-27,,DL363598427,MN,1986-02-05,Charlotte,Active,A,14,10.35
DRV00140,Richard,Rodriguez,2016-05-28,2018-06-30,DL991990632,MN,1962-01-10,Dallas,Terminated,A,25,2.09
DRV00141,Thomas,Wilson,2017-07-26,,DL193053577,MI,1991-02-04,Dallas,Active,A,3,7.43
DRV00142,John,Thomas,2012-01-31,,DL399496923,TN,1975-09-05,Dallas,Active,A,15,12.92
DRV00143,Linda,Smith,2014-10-17,,DL584044963,NV,1984-08-12,Dallas,Active,A,2,10.21
DRV00144,James,Gonzalez,2016-11-09,,DL361846370,MI,1994-07-19,Las Vegas,Active,A,16,8.14
DRV00145,Susan,Hernandez,2020-05-26,,DL905817775,TN,1969-07-21,Los Angeles,Active,A,4,4.6
DRV00146,Jessica,Gonzalez,2019-01-13,,DL598976917,MO,1966-08-20,Oklahoma City,Active,A,12,5.97
DRV00147,Richard,Garcia,2020-06-09,,DL711871397,IL,1986-05-02,Oklahoma City,Active,A,20,4.56
DRV00148,Patricia,Anderson,2019-03-28,,DL755338677,MO,1983-04-15,Denver,Active,A,15,5.76
DRV00149,Linda,Jones,2013-08-25,,DL817461907,OK,1988-04-28,New York,Active,A,20,11.35
DRV00150,Robert,Martin,2015-09-16,,DL506936666,CA,1983-02-22,Columbus,Active,A,14,9.29
