fuel_purchase_id,trip_id,truck_id,driver_id,purchase_date,location_city,location_state,gallons,price_per_gallon,total_cost,fuel_card_number
FUEL00000078,TRIP00075447,TRK00006,DRV00150,2024-08-28 19:00:00,Kansas City,TN,114.0,3.268,372.55,FC659051
FUEL00000079,TRIP00069855,TRK00071,DRV00055,2024-06-15 16:00:00,Chicago,OR,124.2,4.141,514.31,FC719469
FUEL00000080,TRIP00048089,TRK00115,DRV00092,2023-09-12 17:00:00,Columbus,TN,132.3,3.514,464.9,FC184045
FUEL00000081,TRIP00016426,TRK00096,DRV00051,2022-08-01 04:00:00,Salt Lake City,NC,155.4,3.7,574.98,FC659736
FUEL00000082,TRIP00082004,TRK00029,DRV00102,2024-11-19 07:00:00,Chicago,NY,101.5,3.671,372.61,FC762236
FUEL00000083,TRIP00083070,TRK00067,DRV00111,2024-12-03 20:00:00,Chicago,NC,135.3,3.83,518.2,FC622166
FUEL00000084,TRIP00034386,TRK00074,DRV00058,2023-03-16 08:00:00,Philadelphia,NC,97.7,3.362,328.47,FC253468
FUEL00000085,TRIP00073196,TRK00107,DRV00029,2024-07-28 15:00:00,Columbus,OR,148.4,3.756,557.39,FC876039
FUEL00000086,TRIP00048601,TRK00084,DRV00098,2023-09-19 10:00:00,Atlanta,MO,112.4,3.55,399.02,FC985049
FUEL00000087,TRIP00066239,TRK00096,DRV00022,2024-05-02 22:00:00,Omaha,IN,50.3,4.124,207.44,FC372340
FUEL00000088,TRIP00067512,TRK00096,DRV00047,2024-05-17 07:00:00,New York,IL,127.4,3.638,463.48,FC764314
FUEL00000089,TRIP00062282,TRK00103,DRV00065,2024-03-11 15:00:00,Los Angeles,MI,88.2,3.336,294.24,FC948220
FUEL00000090,TRIP00063814,TRK00001,DRV00128,2024-04-01 21:00:00,Philadelphia,OK,76.4,4.005,305.98,FC980129
FUEL00000091,TRIP00024013,TRK00097,DRV00026,2022-11-03 15:00:00,Atlanta,OK,92.5,3.746,346.5,FC584996
FUEL00000092,TRIP00006323,TRK00093,DRV00016,2022-03-22 09:00:00,Philadelphia,OR,175.9,3.418,601.23,FC226385
FUEL00000093,TRIP00041688,TRK00114,DRV00018,2023-06-21 22:00:00,Kansas City,OR,60.7,3.269,198.43,FC755013
FUEL00000094,TRIP00045673,TRK00029,,2023-08-10 13:00:00,Milwaukee,NE,119.6,3.342,399.7,FC975677
FUEL00000095,TRIP00024611,TRK00006,DRV00058,2022-11-10 14:00:00,Seattle,TX,75.9,3.962,300.72,FC682687
FUEL00000096,TRIP00031766,TRK00012,DRV00022,2023-02-12 09:00:00,Denver,WI,87.6,4.257,372.91,FC785652
FUEL00000097,TRIP00081993,TRK00101,DRV00050,2024-11-18 19:00:00,Los Angeles,PA,85.8,3.311,284.08,FC680938
FUEL00000098,TRIP00022079,TRK00055,DRV00094,2022-10-11 11:00:00,Chicago,TN,108.4,4.206,455.93,FC722580
FUEL00000099,TRIP00077065,TRK00098,DRV00024,2024-09-18 14:00:00,Oklahoma City,WI,84.0,3.975,333.9,FC780113
FUEL00000100,TRIP00072728,TRK00063,DRV00029,2024-07-24 19:00:00,Portland,WI,88.8,3.884,344.9,FC464849
FUEL00000101,TRIP00013771,TRK00090,DRV00124,2022-06-25 06:00:00,Phoenix,MI,118.1,3.555,419.85,FC104455
FUEL00000102,TRIP00084157,TRK00099,DRV00057,2024-12-17 09:00:00,Portland,NV,132.9,3.713,493.46,FC262565
FUEL00000103,TRIP00052700,TRK00093,DRV00071,2023-11-11 19:00:00,Nashville,PA,150.6,4.162,626.8,FC937719
FUEL00000104,TRIP00048184,TRK00030,DRV00085,2023-09-11 12:00:00,Seattle,PA,78.5,3.356,263.45,FC619343
FUEL00000105,TRIP00049108,TRK00085,DRV00142,2023-09-23 15:00:00,Philadelphia,MO,178.6,4.322,771.91,FC648155
FUEL00000106,TRIP00051363,TRK00082,DRV00026,2023-10-24 03:00:00,New York,MN,155.5,3.94,612.67,FC975980
FUEL00000107,TRIP00030503,TRK00083,DRV00038,2023-01-26 06:00:00,Chicago,NV,172.1,4.099,705.44,FC178997
FUEL00000108,TRIP00001597,TRK00001,,2022-01-20 08:00:00,Indianapolis,MO,189.0,4.333,818.94,FC107669
FUEL00000109,TRIP00030816,TRK00016,DRV00092,2023-01-31 07:00:00,Los Angeles,UT,189.8,3.868,734.15,FC636480
FUEL00000110,TRIP00071963,TRK00001,DRV00112,2024-07-13 07:00:00,Miami,NC,115.7,3.992,461.87,FC696075
FUEL00000111,TRIP00053935,TRK00048,DRV00078,2023-11-26 20:00:00,Miami,OH,156.9,3.606,565.78,FC352010
FUEL00000112,TRIP00081338,,DRV00142,2024-11-08 11:00:00,Kansas City,TN,64.3,3.476,223.51,FC971788
FUEL00000113,TRIP00027579,TRK00020,DRV00144,2022-12-20 18:00:00,Kansas City,NC,62.9,4.214,265.06,FC481001
FUEL00000114,TRIP00030642,TRK00112,DRV00069,2023-01-28 17:00:00,Los Angeles,OR,99.1,3.891,385.6,FC999854
FUEL00000115,TRIP00025599,TRK00041,DRV00147,2022-11-24 10:00:00,Los Angeles,NY,177.3,4.111,728.88,FC890349
FUEL00000116,TRIP00043772,TRK00092,DRV00107,2023-07-17 07:00:00,New York,NE,129.8,3.689,478.83,FC314948
FUEL00000117,TRIP00039916,TRK00079,DRV00085,2023-05-29 17:00:00,Columbus,UT,161.7,3.519,569.02,FC870393
FUEL00000118,TRIP00011573,TRK00089,DRV00124,2022-05-30 09:00:00,Houston,TX,80.9,4.111,332.58,FC684258
FUEL00000119,TRIP00004143,TRK00115,DRV00112,2022-02-24 17:00:00,Portland,TN,133.4,4.317,575.89,FC623915
FUEL00000120,TRIP00006586,TRK00099,DRV00139,2022-03-28 14:00:00,Kansas City,IL,175.7,4.082,717.21,FC323921
FUEL00000121,TRIP00045800,TRK00059,DRV00066,2023-08-13 21:00:00,Chicago,TN,177.7,3.871,687.88,FC592867
FUEL00000122,TRIP00036577,TRK00091,DRV00036,2023-04-15 02:00:00,Chicago,MO,147.7,3.845,567.91,FC802875
FUEL00000123,TRIP00076582,TRK00020,DRV00038,2024-09-12 00:00:00,Kansas City,TN,70.4,3.654,257.24,FC227143
FUEL00000124,TRIP00029048,TRK00035,DRV00147,2023-01-09 00:00:00,Salt Lake City,NV,105.9,3.792,401.57,FC180355
FUEL00000125,TRIP00047095,TRK00036,DRV00004,2023-08-29 09:00:00,Las Vegas,AZ,62.6,3.333,208.65,FC117768
FUEL00000126,TRIP00017186,TRK00058,DRV00006,2022-08-08 05:00:00,Houston,IL,57.9,4.708,272.59,FC826067
FUEL00000127,TRIP00030720,TRK00007,DRV00084,2023-01-28 12:00:00,Phoenix,WA,62.9,3.399,213.8,FC546096
FUEL00000128,TRIP00034291,TRK00103,DRV00121,2023-03-15 08:00:00,Denver,FL,58.9,4.116,242.43,FC728442
FUEL00000129,TRIP00085183,TRK00063,DRV00055,2024-12-29 11:00:00,New York,PA,108.6,3.157,342.85,FC498417
FUEL00000130,TRIP00024332,TRK00045,DRV00051,2022-11-09 08:00:00,Denver,PA,59.0,4.77,281.43,FC379869
FUEL00000131,TRIP00043823,TRK00040,DRV00075,2023-07-17 03:00:00,New York,TN,145.4,3.306,480.69,FC916464
FUEL00000132,TRIP00053242,TRK00024,DRV00053,2023-11-18 13:00:00,Oklahoma City,OK,132.4,3.912,517.95,FC577174
FUEL00000133,TRIP00054542,TRK00036,DRV00009,2023-12-04 22:00:00,Charlotte,OK,168.4,4.071,685.56,FC655727
FUEL00000134,TRIP00011851,TRK00091,DRV00104,2022-06-03 13:00:00,Las Vegas,CO,145.1,4.829,700.69,FC766216
FUEL00000135,TRIP00065454,TRK00095,DRV00081,2024-04-22 06:00:00,Las Vegas,NV,111.4,3.733,415.86,FC986042
FUEL00000136,TRIP00033659,TRK00115,DRV00011,2023-03-08 11:00:00,Memphis,IL,120.9,3.303,399.33,FC378393
FUEL00000137,TRIP00002779,TRK00064,DRV00107,2022-02-07 16:00:00,Omaha,WI,85.4,4.544,388.06,FC572410
FUEL00000138,TRIP00009853,TRK00071,DRV00145,2022-05-08 11:00:00,Nashville,TX,103.9,4.309,447.71,FC896921
FUEL00000139,TRIP00003149,TRK00086,DRV00143,2022-02-10 18:00:00,Kansas City,MN,89.5,4.869,435.78,FC135473
FUEL00000140,TRIP00004499,TRK00082,DRV00092,2022-02-27 15:00:00,Houston,FL,80.4,4.416,355.05,FC774403
FUEL00000141,TRIP00018519,TRK00065,DRV00066,2022-08-26 02:00:00,Houston,TX,169.0,3.567,602.82,FC325878
FUEL00000142,TRIP00045399,TRK00063,DRV00053,2023-08-06 11:00:00,Omaha,NV,147.6,3.94,581.54,FC200341
FUEL00000143,TRIP00067735,TRK00069,DRV00051,2024-05-22 08:00:00,Memphis,NY,81.2,4.052,329.02,FC670569
FUEL00000144,TRIP00047619,TRK00057,DRV00077,2023-09-04 12:00:00,Charlotte,OR,91.8,4.088,375.28,FC714554
FUEL00000145,TRIP00015830,TRK00080,DRV00110,2022-07-24 06:00:00,Milwaukee,NY,118.7,4.982,591.36,FC145698
FUEL00000146,TRIP00050961,TRK00050,DRV00104,2023-10-19 11:00:00,Phoenix,NC,156.4,3.371,527.22,FC568751
FUEL00000147,TRIP00047350,TRK00086,DRV00017,2023-09-02 19:00:00,Oklahoma City,NC,183.4,4.283,785.5,FC223672
FUEL00000148,TRIP00051724,TRK00059,DRV00071,2023-10-27 11:00:00,Houston,AZ,131.4,4.058,533.22,FC471351
FUEL00000149,TRIP00024075,TRK00019,DRV00112,2022-11-04 14:00:00,Charlotte,OR,183.1,3.865,707.68,FC148265
FUEL00000150,TRIP00024618,TRK00039,DRV00041,2022-11-12 11:00:00,Nashville,FL,67.5,3.478,234.77,FC380243
FUEL00000151,TRIP00056784,TRK00111,DRV00119,2024-01-02 00:00:00,Kansas City,CA,134.0,3.727,499.42,FC405921
FUEL00000152,TRIP00053903,TRK00060,DRV00110,2023-11-24 20:00:00,Minneapolis,FL,149.0,3.385,504.36,FC566460
FUEL00000153,TRIP00064891,TRK00106,DRV00124,2024-04-16 14:00:00,Phoenix,MN,148.9,3.34,497.33,FC813360
FUEL00000154,TRIP00060396,TRK00062,DRV00128,2024-02-18 06:00:00,Memphis,CA,134.8,3.174,427.86,FC493350
FUEL00000155,TRIP00017805,TRK00018,DRV00032,2022-08-16 05:00:00,Minneapolis,CA,165.7,3.716,615.74,FC583140
FUEL00000156,TRIP00016075,TRK00089,DRV00025,2022-07-26 23:00:00,Charlotte,AZ,125.5,4.092,513.55,FC324950
FUEL00000157,TRIP00030036,TRK00012,DRV00028,2023-01-21 22:00:00,Houston,OH,68.9,3.97,273.53,FC160036
FUEL00000158,TRIP00017126,TRK00063,DRV00110,2022-08-07 12:00:00,Phoenix,NE,55.2,4.808,265.4,FC363460
FUEL00000159,TRIP00055403,TRK00054,DRV00100,2023-12-15 21:00:00,Chicago,IL,174.9,4.326,756.62,FC666253
FUEL00000160,TRIP00040271,TRK00015,DRV00118,2023-06-01 05:00:00,Omaha,MN,81.1,3.461,280.69,FC312962
FUEL00000161,TRIP00002050,TRK00093,DRV00109,2022-01-28 10:00:00,Milwaukee,NC,138.8,4.675,648.89,FC270828
FUEL00000162,TRIP00045120,TRK00068,DRV00074,2023-08-04 04:00:00,Miami,NE,91.5,3.682,336.9,FC505741
FUEL00000163,TRIP00048936,TRK00085,DRV00123,2023-09-22 10:00:00,Las Vegas,IN,105.2,3.481,366.2,FC269237
FUEL00000164,TRIP00043911,TRK00023,DRV00039,2023-07-19 21:00:00,Phoenix,CO,72.0,4.327,311.54,FC774769
FUEL00000165,TRIP00063847,TRK00025,DRV00018,2024-04-02 12:00:00,Minneapolis,TX,81.5,3.239,263.98,FC641238
FUEL00000166,TRIP00006150,TRK00068,DRV00070,2022-03-22 04:00:00,New York,NC,192.1,3.542,680.42,FC729071
FUEL00000167,TRIP00011786,TRK00061,DRV00030,2022-06-01 11:00:00,Phoenix,NV,118.0,3.605,425.39,FC716030
FUEL00000168,TRIP00024722,TRK00060,DRV00100,2022-11-14 21:00:00,Salt Lake City,WA,163.9,3.741,613.15,FC718686
FUEL00000169,TRIP00079536,TRK00006,DRV00015,2024-10-18 00:00:00,Atlanta,TN,161.0,3.272,526.79,FC826799
FUEL00000170,TRIP00070166,TRK00015,DRV00041,2024-06-20 08:00:00,Miami,MI,95.3,4.03,384.06,FC208612
FUEL00000171,TRIP00049966,TRK00070,DRV00090,2023-10-05 10:00:00,Houston,OK,75.9,4.36,330.92,FC102465
FUEL00000172,TRIP00080139,TRK00116,DRV00047,2024-10-26 02:00:00,Los Angeles,AZ,52.2,3.954,206.4,FC622709
FUEL00000173,TRIP00002424,TRK00051,DRV00089,2022-01-31 18:00:00,Chicago,MN,155.1,4.702,729.28,FC331862
FUEL00000174,TRIP00013303,TRK00036,DRV00094,2022-06-22 18:00:00,Phoenix,TX,75.4,4.802,362.07,FC480587
FUEL00000175,TRIP00079974,TRK00044,DRV00080,2024-10-22 00:00:00,Salt Lake City,MN,196.6,3.342,657.04,FC430616
FUEL00000176,TRIP00054289,TRK00044,DRV00084,2023-12-01 14:00:00,Indianapolis,TX,79.3,3.438,272.63,FC847806
FUEL00000177,TRIP00059707,TRK00061,DRV00145,2024-02-10 05:00:00,Memphis,TX,199.5,3.298,657.95,FC964607
FUEL00000178,TRIP00084442,TRK00097,DRV00085,2024-12-20 08:00:00,Memphis,PA,157.5,3.771,593.93,FC728781
FUEL00000179,TRIP00049669,TRK00086,DRV00078,2023-10-02 05:00:00,Columbus,TN,88.1,3.399,299.45,FC179522
FUEL00000180,TRIP00080413,TRK00073,DRV00117,2024-10-30 01:00:00,Portland,WA,101.9,3.875,394.86,FC280422
FUEL00000181,TRIP00043939,TRK00080,DRV00090,2023-07-18 07:00:00,Los Angeles,GA,71.8,4.123,296.03,FC419868
FUEL00000182,TRIP00067778,TRK00004,DRV00059,2024-05-20 03:00:00,Philadelphia,TX,146.6,4.027,590.36,FC658762
FUEL00000183,TRIP00065056,TRK00009,DRV00118,2024-04-18 00:00:00,Chicago,NC,119.4,3.237,386.5,FC803848
FUEL00000184,TRIP00077401,TRK00069,DRV00141,2024-09-22 12:00:00,Seattle,IN,106.3,3.407,362.16,FC359325
FUEL00000185,TRIP00082415,TRK00004,DRV00032,2024-11-23 04:00:00,Indianapolis,MN,153.0,3.678,562.73,FC326070
FUEL00000186,TRIP00014471,TRK00041,DRV00103,2022-07-04 07:00:00,Las Vegas,OK,93.3,4.743,442.52,FC746970
FUEL00000187,TRIP00037169,TRK00079,DRV00125,2023-04-21 11:00:00,Miami,OK,101.5,4.196,425.89,FC532939
FUEL00000188,TRIP00039918,TRK00082,DRV00058,2023-05-29 05:00:00,Dallas,OR,167.3,4.115,688.44,FC187311
FUEL00000189,TRIP00079400,TRK00103,DRV00132,2024-10-15 05:00:00,Las Vegas,TN,144.9,3.912,566.85,FC255991
FUEL00000190,TRIP00000980,TRK00073,DRV00145,2022-01-15 04:00:00,Salt Lake City,UT,121.8,4.84,589.51,FC492005
FUEL00000191,TRIP00001266,TRK00097,DRV00062,2022-01-17 23:00:00,Dallas,IL,161.7,4.901,792.49,FC484133
FUEL00000192,TRIP00004426,TRK00116,DRV00111,2022-02-27 21:00:00,Memphis,NY,113.9,4.867,554.35,FC141204
FUEL00000193,TRIP00074729,TRK00073,DRV00119,2024-08-20 00:00:00,New York,TX,148.5,3.154,468.37,FC561740
FUEL00000194,TRIP00040338,TRK00018,DRV00077,2023-06-04 07:00:00,Minneapolis,OR,106.2,4.374,464.52,FC759879
FUEL00000195,TRIP00065915,TRK00093,DRV00061,2024-04-29 22:00:00,Dallas,IN,189.7,3.701,702.08,FC311047
FUEL00000196,TRIP00023203,TRK00120,DRV00065,2022-10-23 23:00:00,Dallas,IL,180.9,4.648,840.82,FC269168
FUEL00000197,TRIP00055477,TRK00080,DRV00101,2023-12-16 10:00:00,Miami,TX,110.7,3.763,416.56,FC512965
FUEL00000198,TRIP00075898,TRK00014,DRV00110,2024-09-03 18:00:00,New York,CO,137.7,4.086,562.64,FC220810
FUEL00000199,TRIP00064085,TRK00063,DRV00123,2024-04-04 11:00:00,Portland,UT,112.3,4.132,464.02,FC416246
FUEL00000200,TRIP00038257,TRK00113,DRV00038,2023-05-07 15:00:00,Houston,OK,75.6,4.376,330.83,FC826747
FUEL00000201,TRIP00067563,TRK00023,DRV00033,2024-05-18 17:00:00,Columbus,TN,179.3,3.841,688.69,FC141060
FUEL00000202,TRIP00048291,TRK00015,DRV00051,2023-09-13 03:00:00,Milwaukee,OH,158.6,3.251,515.61,FC356353
FUEL00000203,TRIP00003585,TRK00007,DRV00030,2022-02-17 05:00:00,Dallas,WA,92.6,4.655,431.05,FC675129
FUEL00000204,TRIP00019453,TRK00055,DRV00134,2022-09-07 11:00:00,Chicago,FL,136.4,3.48,474.67,FC712753
FUEL00000205,TRIP00082569,TRK00009,DRV00141,2024-11-26 15:00:00,Memphis,IN,60.8,3.91,237.73,FC723728
FUEL00000206,TRIP00080132,TRK00054,DRV00017,2024-10-26 04:00:00,Oklahoma City,TX,172.4,3.548,611.68,FC108921
FUEL00000207,TRIP00072378,TRK00002,DRV00139,2024-07-18 05:00:00,Milwaukee,UT,109.1,3.627,395.71,FC571435
FUEL00000208,TRIP00064647,TRK00020,DRV00126,2024-04-12 00:00:00,Kansas City,TX,124.6,3.731,464.88,FC705818
FUEL00000209,TRIP00083542,TRK00036,DRV00142,2024-12-08 08:00:00,Miami,TX,128.8,3.531,454.79,FC678652
